run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step
mka2018-10-01-1,2.459016393442623,56.0,-60.0,3.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,56.0,-60.0,3,2.0
mka2018-10-01-2,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-3,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-4,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-5,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-6,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-7,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-8,2.459016393442623,-8.0,-60.0,2.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,-8.0,-60.0,2,2.0
mka2018-10-01-9,2.459016393442623,-14.0,-60.0,2.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,-14.0,-60.0,2,2.0
mka2018-10-01-10,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-11,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-12,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-13,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-14,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-15,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-16,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-17,2.459016393442623,60.0,-60.0,1.0,2.0,,NON_FIDUCIAL,,,,,60.0,-60.0,1,2.0
mka2018-10-01-18,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-19,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-20,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-21,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-22,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-23,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-24,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-25,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-26,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-27,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-28,2.459016393442623,60.0,-60.0,4.0,2.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,60.0,-60.0,4,2.0
mka2018-10-01-29,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-30,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-31,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-32,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-33,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-34,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-35,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-36,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-37,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-38,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-39,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-40,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-41,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-42,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-43,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-44,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-45,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-46,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-47,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-48,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-01-49,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-1,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-2,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-3,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-4,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-5,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-6,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-7,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-8,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-9,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-10,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-11,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-12,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
mka2018-10-02-13,1.4851485148514851,50.0,-50.0,4.0,1.0,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,1.0
