run_name,ts-tilt_series_path
ycw2012-02-25-7,rawdata/20120225_20001.mrc
ycw2012-02-25-11,rawdata/20120225_20004.mrc
ycw2012-02-25-13,rawdata/20120225_20006.mrc
ycw2012-02-25-14,rawdata/20120225_20007.mrc
ycw2012-02-25-17,rawdata/20120225_20010.mrc
ycw2012-02-25-18,rawdata/20120225_20011.mrc
ycw2012-02-25-19,rawdata/20120225_20012.mrc
ycw2012-02-25-23,rawdata/20120225_20016.mrc
ycw2012-02-25-24,rawdata/20120225_20017.mrc
ycw2012-02-25-25,rawdata/20120225_20018.mrc
ycw2012-02-25-26,rawdata/20120225_20019.mrc
ycw2012-02-25-28,rawdata/20120225_20021.mrc
