run_name,frame_dose_rate
aba2015-06-04-5,0.0
aba2015-06-04-9,0.0
aba2015-06-04-10,0.0
aba2015-06-04-18,0.0
aba2015-06-04-28,0.0
aba2015-06-04-29,0.0
aba2015-06-04-32,0.0
aba2015-06-04-6,1.0
aba2015-06-04-7,1.0
aba2015-06-04-15,1.0
aba2015-06-04-19,1.0
aba2015-06-04-22,1.0
aba2015-06-04-23,1.0
aba2015-06-04-27,1.0
aba2015-06-04-8,2.0
aba2015-06-04-21,2.0
aba2015-06-04-30,2.0
aba2015-06-04-31,2.0
aba2015-06-04-11,3.0
aba2015-06-04-12,3.0
aba2015-06-04-16,3.0
aba2015-06-04-13,4.0
aba2015-06-04-14,4.0
aba2015-06-04-17,4.0
aba2015-06-04-20,4.0
aba2015-06-04-24,4.0
aba2015-06-04-25,4.0
aba2015-06-04-26,4.0
