run_name,ts-tilt_series_path
scy2013-08-15-6,rawdata/sq1_atlas0013.mrc
scy2013-08-15-9,rawdata/sq1_atlas0016.mrc
scy2013-08-15-10,rawdata/sq1_atlas0017.mrc
scy2013-08-15-13,rawdata/sq1_atlas0020.mrc
scy2013-08-15-14,rawdata/sq1_atlas0021.mrc
scy2013-08-15-15,rawdata/sq1_atlas0022.mrc
scy2013-08-15-16,rawdata/sq1_atlas0023.mrc
scy2013-08-15-17,rawdata/sq1_atlas0024.mrc
scy2013-08-15-19,rawdata/sq1_atlas0026.mrc
scy2013-08-15-20,rawdata/sq1_atlas0027.mrc
scy2013-08-15-21,rawdata/sq1_atlas0028.mrc
