run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2016-04-02-1,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-5,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-6,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-7,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-9,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-11,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-12,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-13,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-16,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-17,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-20,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-21,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-22,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-23,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-27,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-29,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-30,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-31,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-32,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-33,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-34,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-35,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-37,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-41,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-43,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-44,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-45,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-47,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-48,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-50,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-51,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-52,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-53,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-54,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-57,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-60,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-61,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-63,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-64,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-65,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-66,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-68,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-69,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-70,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-73,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-75,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-77,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-79,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-80,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-81,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-83,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-84,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-85,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-87,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-88,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-90,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-94,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-95,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-96,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-03-31-75,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-97,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-98,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-99,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-101,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-102,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-103,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-106,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-108,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-109,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-110,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-111,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-112,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-113,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-114,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-115,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-116,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-117,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-118,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-119,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-120,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-121,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-123,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-125,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-129,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-130,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-131,RAPTOR,FIDUCIAL,,Weighted back projection,IMOD,16.8,RAPTOR,4
dga2016-04-02-8,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-36,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-49,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-67,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-74,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-78,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-91,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-104,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-105,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-107,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-122,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-124,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-128,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,4
dga2016-04-02-92,,NON_FIDUCIAL,,,,,,1
