run_name,ts-tilt_series_path
dga2019-05-28-181,rawdata/HS001A-area2-tomo0006.mrc
dga2019-05-28-182,rawdata/HS001A-area2-tomo0007.mrc
dga2019-05-28-183,rawdata/HS001A-area2-tomo0008.mrc
dga2019-05-28-184,rawdata/HS001A-area2-tomo0009.mrc
dga2019-05-28-185,rawdata/HS001A-area2-tomo0010.mrc
dga2019-05-28-186,rawdata/HS001A-area2-tomo0011.mrc
dga2019-05-28-187,rawdata/HS001A-area2-tomo0012.mrc
dga2019-05-28-188,rawdata/HS001A-area2-tomo0013.mrc
dga2019-05-28-189,rawdata/HS001A-area2-tomo0014.mrc
dga2019-05-28-190,rawdata/HS001A-area2-tomo0015.mrc
dga2019-05-28-191,rawdata/HS001A-area2-tomo0016.mrc
dga2019-05-28-192,rawdata/HS001A-area2-tomo0017.mrc
