run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,ts-tilt_range-max,ts-tilt_range-min
lma2019-08-21-1,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-2,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-3,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-10,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-35,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-45,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-46,60.0,-57.0,3.0,60.0,-57.0
lma2019-08-21-4,54.0,-54.0,3.0,54.0,-54.0
lma2019-08-21-7,60.0,-54.0,3.0,60.0,-54.0
lma2019-08-21-11,54.0,-54.0,3.0,54.0,-54.0
lma2019-08-21-56,57.0,-54.0,3.0,57.0,-54.0
lma2019-08-21-5,60.0,-60.0,3.0,60.0,-60.0
lma2019-08-21-6,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-8,60.0,-60.0,3.0,60.0,-60.0
lma2019-08-21-9,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-12,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-13,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-16,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-17,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-19,60.0,-60.0,3.0,60.0,-60.0
lma2019-08-21-22,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-23,60.0,-60.0,3.0,60.0,-60.0
lma2019-08-21-25,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-27,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-31,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-32,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-36,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-37,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-39,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-40,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-55,66.0,-60.0,3.0,66.0,-60.0
lma2019-08-21-60,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-61,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-62,63.0,-60.0,3.0,63.0,-60.0
lma2019-08-21-14,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-15,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-18,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-20,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-30,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-38,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-54,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-57,66.0,-63.0,3.0,66.0,-63.0
lma2019-08-21-21,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-24,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-26,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-28,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-29,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-33,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-34,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-41,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-42,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-43,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-44,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-47,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-48,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-49,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-50,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-51,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-52,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-53,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-58,66.0,-66.0,4.0,66.0,-66.0
lma2019-08-21-59,66.0,-66.0,4.0,66.0,-66.0
