run_name,ts-tilt_series_path
scy2016-01-14-1,rawdata/atlas10001.mrc
scy2016-01-14-2,rawdata/atlas10002.mrc
scy2016-01-14-3,rawdata/atlas10003.mrc
scy2016-01-14-4,rawdata/atlas10004.mrc
scy2016-01-14-5,rawdata/atlas10005.mrc
scy2016-01-15-1,rawdata/atlas10006.mrc
scy2016-01-15-2,rawdata/atlas10007.mrc
scy2016-01-15-3,rawdata/atlas10008.mrc
scy2016-01-15-4,rawdata/atlas10009.mrc
scy2016-01-15-5,rawdata/atlas10010.mrc
scy2016-01-15-6,rawdata/atlas10011.mrc
scy2016-01-15-7,rawdata/atlas10012.mrc
scy2016-01-15-8,rawdata/atlas10013.mrc
scy2016-01-15-9,rawdata/atlas10014.mrc
scy2016-01-15-10,rawdata/atlas10015.mrc
scy2016-01-15-11,rawdata/atlas10016.mrc
scy2016-01-15-12,rawdata/atlas10017.mrc
scy2016-01-15-13,rawdata/atlas10018.mrc
