run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2016-08-11-1,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-2,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-3,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-4,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-6,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-7,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-11,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-16,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-38,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-45,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-46,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-47,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-48,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-56,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-57,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-59,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-62,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-63,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-64,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-66,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-69,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-70,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-71,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-72,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-74,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-76,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-77,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-78,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-11-5,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-9,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-10,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-12,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-14,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-15,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-17,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-18,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-19,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-20,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-21,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-22,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-23,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-26,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-27,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-28,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-29,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-30,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-31,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-32,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-33,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-34,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-35,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-36,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-37,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-39,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-40,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-41,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-42,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-43,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-44,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-51,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-54,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-55,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-58,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-61,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-65,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-67,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-68,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-73,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-79,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-11-80,RAPTOR,,WBP,IMOD,RAPTOR
