run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
aba2014-03-05-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-6,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-7,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-9,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-10,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-11,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-12,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-13,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-14,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-16,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-17,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-20,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-21,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.218,RAPTOR,4
aba2014-03-05-15,1.0,,NON_FIDUCIAL,,,,,1
