run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2017-03-02-40,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-03-02-41,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-42,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-43,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-44,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-45,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-46,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-47,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-48,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-49,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-50,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-51,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-52,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-53,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-54,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-55,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-57,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-58,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-59,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-61,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-62,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-63,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-64,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-68,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-69,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-70,RAPTOR,,WBP,IMOD,RAPTOR
dga2017-03-02-71,RAPTOR,,WBP,IMOD,RAPTOR
