run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
mka2019-11-23-1,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-3,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-5,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-9,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-10,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-12,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-14,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-16,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-17,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-18,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-19,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-20,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-21,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-23,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-24,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-26,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-27,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-28,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-29,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-30,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-23-32,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-23-33,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-23-34,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-23-35,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-23-36,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-23-37,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-38,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-39,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-40,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-41,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-42,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-43,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-44,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-23-45,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
