run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step
mka2018-08-16-1,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-2,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-3,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-4,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-5,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-6,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-7,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-8,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-9,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-10,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-11,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-12,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-13,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-14,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-15,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-16,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-17,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-19,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-20,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-21,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-22,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-23,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-24,2.9411764705882355,,NON_FIDUCIAL,,,,,50.0,-50.0,1,2.0
mka2018-08-16-25,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-26,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-27,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-28,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
mka2018-08-16-29,2.9411764705882355,RAPTOR,FIDUCIAL,WBP,IMOD,14.848,RAPTOR,50.0,-50.0,4,2.0
