run_name,tomo-align_softwares,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path
dga2016-11-04-1,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas10001.mrc
dga2016-11-04-4,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas10004.mrc
dga2016-11-04-7,['TOMO3D'],tomo3D,SIRT,TOMO3D,46.8,TOMO3D,rawdata/15D_Pos4_atlas10007.mrc
dga2016-11-04-8,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas10008.mrc
dga2016-11-04-31,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20002.mrc
dga2016-11-04-33,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20004.mrc
dga2016-11-04-34,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20005.mrc
dga2016-11-04-35,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20006.mrc
dga2016-11-04-36,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20007.mrc
dga2016-11-04-37,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20008.mrc
dga2016-11-04-38,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20009.mrc
dga2016-11-04-39,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20010.mrc
dga2016-11-04-40,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20011.mrc
dga2016-11-04-41,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20012.mrc
dga2016-11-04-42,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20013.mrc
dga2016-11-04-43,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20014.mrc
dga2016-11-04-44,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20015.mrc
dga2016-11-04-45,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20016.mrc
dga2016-11-04-46,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20017.mrc
dga2016-11-04-48,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20019.mrc
dga2016-11-04-49,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20020.mrc
dga2016-11-04-50,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20021.mrc
dga2016-11-04-51,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20022.mrc
dga2016-11-04-52,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20023.mrc
dga2016-11-04-53,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20024.mrc
dga2016-11-04-55,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20026.mrc
dga2016-11-04-57,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20028.mrc
dga2016-11-04-59,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,TOMO3D;RAPTOR,rawdata/15D_Pos4_atlas20030.mrc
dga2016-11-04-61,['TOMO3D'],tomo3D,SIRT,TOMO3D,15.6,RAPTOR;TOMO3D,rawdata/15D_Pos4_atlas20032.mrc
