run_name,frame_dose_rate,ts-data_acquisition_software,ts-total_flux
ycw2012-09-23-13,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-17,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-18,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-20,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-21,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-22,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-23,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-24,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-25,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-26,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-27,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-28,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-29,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-30,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-31,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-32,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-33,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-34,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-35,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-36,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-53,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-54,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-55,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-56,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-57,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-60,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-63,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-65,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-66,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-67,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-68,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-69,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-70,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-71,0.6147540983606558,UCSFTomo,75.0
ycw2012-09-23-72,0.6147540983606558,UCSF Tomo,75.0
ycw2012-09-23-37,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-38,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-39,0.9180327868852459,UCSFTomo,112.0
ycw2012-09-23-41,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-42,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-43,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-44,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-45,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-46,0.9180327868852459,UCSFTomo,112.0
ycw2012-09-23-48,0.9180327868852459,UCSF Tomo,112.0
ycw2012-09-23-49,0.9180327868852459,UCSFTomo,112.0
ycw2012-09-23-50,0.9180327868852459,UCSFTomo,112.0
ycw2012-09-23-51,0.9180327868852459,UCSFTomo,112.0
ycw2012-09-23-52,0.9180327868852459,UCSFTomo,112.0
ycw2012-09-23-74,0.9221311475409836,UCSF Tomo,112.5
