run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2016-08-13-1,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-18,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-21,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-25,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-28,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-33,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-34,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-38,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-39,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-41,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-46,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-48,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-52,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-75,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-08-13-2,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-3,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-4,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-5,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-6,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-7,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-8,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-9,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-10,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-11,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-12,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-13,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-14,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-15,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-16,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-19,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-22,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-24,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-26,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-27,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-30,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-31,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-32,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-35,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-36,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-40,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-42,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-43,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-44,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-45,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-47,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-49,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-50,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-51,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-53,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-54,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-55,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-56,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-57,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-58,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-59,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-60,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-61,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-62,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-64,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-65,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-66,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-67,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-68,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-70,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-71,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-72,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-73,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-74,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-76,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-77,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-78,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-79,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-80,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-81,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-82,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-83,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-84,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-85,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-08-13-86,RAPTOR,,WBP,IMOD,RAPTOR
