run_name,frame_dose_rate
ycw2014-03-02-1,1.0
ycw2014-03-02-13,1.0
ycw2014-03-02-14,1.0
ycw2014-03-02-15,1.0
ycw2014-03-02-24,1.0
ycw2014-03-02-2,3.0
ycw2014-03-02-3,3.0
ycw2014-03-02-6,3.0
ycw2014-03-02-25,3.0
ycw2014-03-02-4,4.0
ycw2014-03-02-9,4.0
ycw2014-03-02-16,4.0
ycw2014-03-02-19,4.0
ycw2014-03-02-5,2.0
ycw2014-03-02-7,2.0
ycw2014-03-02-10,2.0
ycw2014-03-02-17,2.0
ycw2014-03-02-18,2.0
ycw2014-03-02-8,0.0
ycw2014-03-02-11,0.0
ycw2014-03-02-12,0.0
ycw2014-03-02-20,0.0
ycw2014-03-02-21,0.0
ycw2014-03-02-22,0.0
ycw2014-03-02-23,0.0
ycw2014-03-02-26,0.0
