run_name,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
mka2018-09-29-3,8.0,-50.0,2
mka2018-09-29-6,60.0,-60.0,3
mka2018-09-29-14,60.0,-60.0,3
mka2018-09-29-15,60.0,-60.0,3
mka2018-09-29-16,60.0,-60.0,3
mka2018-09-29-18,60.0,-60.0,3
mka2018-09-29-20,60.0,-60.0,3
mka2018-09-29-21,60.0,-60.0,3
mka2018-09-29-22,60.0,-60.0,3
mka2018-09-29-23,60.0,-60.0,3
mka2018-09-29-28,60.0,-60.0,3
mka2018-09-29-30,60.0,-60.0,3
mka2018-09-29-31,60.0,-60.0,3
mka2018-09-29-32,60.0,-60.0,3
mka2018-09-29-36,60.0,-60.0,3
mka2018-09-29-37,60.0,-60.0,3
mka2018-09-29-38,60.0,-60.0,3
mka2018-09-29-39,60.0,-60.0,3
mka2018-09-29-41,60.0,-60.0,3
mka2018-09-29-42,60.0,-60.0,3
mka2018-09-29-43,60.0,-60.0,3
mka2018-09-29-44,60.0,-60.0,3
mka2018-09-29-45,60.0,-60.0,3
mka2018-09-29-46,60.0,-60.0,3
mka2018-09-29-49,60.0,-60.0,3
mka2018-09-29-50,60.0,-60.0,3
mka2018-09-29-52,60.0,-60.0,3
mka2018-09-29-62,60.0,-60.0,3
mka2018-09-29-73,60.0,-60.0,3
mka2018-09-29-75,60.0,-60.0,3
mka2018-09-29-76,60.0,-60.0,3
mka2018-09-29-8,-2.0,-50.0,2
mka2018-09-29-12,58.0,-60.0,3
mka2018-09-29-26,58.0,-60.0,3
mka2018-09-29-13,54.0,-60.0,3
mka2018-09-29-17,54.0,-60.0,3
mka2018-09-29-33,54.0,-60.0,3
mka2018-09-29-47,54.0,-60.0,3
mka2018-09-29-19,50.0,-60.0,3
mka2018-09-29-29,50.0,-60.0,3
mka2018-09-29-24,56.0,-60.0,3
mka2018-09-29-25,56.0,-60.0,3
mka2018-09-29-27,56.0,-60.0,3
mka2018-09-29-35,-8.0,-50.0,2
mka2018-09-29-48,-8.0,-50.0,2
mka2018-09-29-40,36.0,-50.0,3
mka2018-09-29-51,48.0,-50.0,3
mka2018-09-29-53,50.0,-50.0,4
mka2018-09-29-54,50.0,-50.0,4
mka2018-09-29-55,50.0,-50.0,4
mka2018-09-29-56,50.0,-50.0,4
mka2018-09-29-57,50.0,-50.0,4
mka2018-09-29-58,50.0,-50.0,4
mka2018-09-29-59,50.0,-50.0,4
mka2018-09-29-60,50.0,-50.0,4
mka2018-09-29-61,50.0,-50.0,4
mka2018-09-29-63,50.0,-50.0,4
mka2018-09-29-64,50.0,-50.0,4
mka2018-09-29-65,50.0,-50.0,4
mka2018-09-29-66,50.0,-50.0,4
mka2018-09-29-67,50.0,-50.0,4
mka2018-09-29-68,50.0,-50.0,4
mka2018-09-29-69,50.0,-50.0,4
mka2018-09-29-70,50.0,-50.0,4
mka2018-09-29-71,50.0,-50.0,4
mka2018-09-29-72,50.0,-50.0,4
mka2018-09-29-74,50.0,-50.0,4
