run_name,ts-tilt_alignment_software
etl2011-07-05-1,RAPTOR
etl2011-07-05-2,RAPTOR
etl2011-07-05-3,RAPTOR
etl2011-07-05-4,RAPTOR
etl2011-07-05-5,RAPTOR
etl2011-07-05-6,RAPTOR
etl2011-07-05-7,RAPTOR
etl2011-07-05-8,RAPTOR
etl2011-07-05-9,RAPTOR
etl2011-07-05-10,RAPTOR
etl2011-07-05-11,RAPTOR
etl2011-07-05-12,RAPTOR
etl2011-07-05-13,RAPTOR
etl2011-07-05-14,RAPTOR
etl2011-07-05-15,RAPTOR
etl2011-07-05-16,RAPTOR
etl2011-07-05-17,RAPTOR
etl2011-07-05-19,RAPTOR
etl2011-07-05-20,RAPTOR
etl2011-07-05-21,RAPTOR
etl2011-07-05-22,RAPTOR
etl2011-07-05-23,RAPTOR
etl2011-07-05-24,RAPTOR
etl2011-07-05-25,RAPTOR
etl2011-07-05-26,RAPTOR
etl2011-07-05-27,RAPTOR
etl2011-07-05-28,RAPTOR
etl2011-07-05-29,RAPTOR
etl2011-07-05-30,RAPTOR
etl2011-07-05-31,RAPTOR
etl2011-07-05-32,RAPTOR
etl2011-07-05-18,RAPTOR;RAPTOR
