run_name,frame_dose_rate
mba2012-01-12-1,3.0
mba2012-01-12-10,3.0
mba2012-01-12-13,3.0
mba2012-01-12-16,3.0
mba2012-01-12-17,3.0
mba2012-01-12-27,3.0
mba2012-01-12-29,3.0
mba2012-01-12-30,3.0
mba2012-01-12-32,3.0
mba2012-01-12-2,0.0
mba2012-01-12-3,0.0
mba2012-01-12-5,0.0
mba2012-01-12-6,0.0
mba2012-01-12-18,0.0
mba2012-01-12-19,0.0
mba2012-01-12-23,0.0
mba2012-01-12-33,0.0
mba2012-01-12-4,2.0
mba2012-01-12-12,2.0
mba2012-01-12-20,2.0
mba2012-01-12-21,2.0
mba2012-01-12-7,1.0
mba2012-01-12-8,1.0
mba2012-01-12-11,1.0
mba2012-01-12-14,1.0
mba2012-01-12-24,1.0
mba2012-01-12-26,1.0
mba2012-01-12-28,1.0
mba2012-01-12-9,4.0
mba2012-01-12-15,4.0
mba2012-01-12-22,4.0
mba2012-01-12-25,4.0
mba2012-01-12-31,4.0
mba2012-01-12-34,4.0
