run_name,tomo-align_softwares,ts-tilt_alignment_software,ts-tilt_series_path
psa2014-12-30-5,['Batchruntomo'],Batchruntomo,rawdata/dQ167_14hinduced_atlas120001.mrc
psa2014-12-30-6,['Batchruntomo'],Batchruntomo,rawdata/dQ167_14hinduced_atlas120002.mrc
psa2014-12-30-7,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120003.mrc
psa2014-12-30-8,['Batchruntomo'],Batchruntomo,rawdata/dQ167_14hinduced_atlas120004.mrc
psa2014-12-30-9,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120005.mrc
psa2014-12-30-10,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120006.mrc
psa2014-12-30-11,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120007.mrc
psa2014-12-30-12,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120008.mrc
psa2014-12-30-13,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120009.mrc
psa2014-12-30-14,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas120010.mrc
psa2014-12-30-35,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas12_montage20001.mrc
psa2014-12-30-36,['Batchruntomo'],Batchruntomo,rawdata/dQ167_14hinduced_atlas12_montage20002.mrc
psa2014-12-30-37,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas12_montage20003.mrc
psa2014-12-30-38,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas12_montage20004.mrc
psa2014-12-30-39,['RAPTOR'],RAPTOR,rawdata/dQ167_14hinduced_atlas12_montage20005.mrc
