run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
psa2015-04-13-1,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-2,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-3,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-4,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-5,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-6,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-7,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-8,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-9,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-10,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-11,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-13,RAPTOR,FIDUCIAL,WBP,IMOD,24.667,RAPTOR,
psa2015-04-13-12,,NON_FIDUCIAL,,,,,1
