run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2016-01-13-1,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-2,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-3,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-5,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-6,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-7,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-8,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-9,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-10,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-11,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-12,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-13,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-14,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-15,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-16,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-17,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-19,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-20,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-21,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-22,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-23,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-24,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-25,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-26,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-27,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-28,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-29,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-30,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-32,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-33,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-35,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-37,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2016-01-13-4,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-13-31,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-13-34,RAPTOR,,WBP,IMOD,RAPTOR
