run_name,ts-tilt_series_path
scy2014-02-24-1,rawdata/atlas10001.mrc
scy2014-02-24-2,rawdata/atlas10002.mrc
scy2014-02-24-3,rawdata/atlas10003.mrc
scy2014-02-24-4,rawdata/atlas10004.mrc
scy2014-02-24-5,rawdata/atlas10005.mrc
scy2014-02-24-6,rawdata/atlas10006.mrc
scy2014-02-24-7,rawdata/atlas10007.mrc
scy2014-02-24-8,rawdata/atlas10008.mrc
scy2014-02-24-9,rawdata/atlas10009.mrc
scy2014-02-24-10,rawdata/atlas10010.mrc
scy2014-02-24-11,rawdata/atlas10011.mrc
scy2014-02-24-12,rawdata/atlas10012.mrc
scy2014-02-24-13,rawdata/atlas10013.mrc
scy2014-02-24-16,rawdata/atlas10016.mrc
scy2014-02-24-17,rawdata/atlas10017.mrc
scy2014-02-24-18,rawdata/atlas10018.mrc
scy2014-02-24-19,rawdata/atlas10019.mrc
