run_name,ts-tilt_series_path
ycw2012-03-04-4,rawdata/2012Mar04_AR43_24hr_10002.mrc
ycw2012-03-04-5,rawdata/2012Mar04_AR43_24hr_10003.mrc
ycw2012-03-04-6,rawdata/2012Mar04_AR43_24hr_10004.mrc
ycw2012-03-04-7,rawdata/2012Mar04_AR43_24hr_10007.mrc
ycw2012-03-04-8,rawdata/2012Mar04_AR43_24hr_30001.mrc
ycw2012-03-04-11,rawdata/2012Mar04_AR43_24hr_30005.mrc
ycw2012-03-04-15,rawdata/2012Mar04_AR43_24hr_30009.mrc
ycw2012-03-04-16,rawdata/2012Mar04_AR43_24hr_30010.mrc
ycw2012-03-04-19,rawdata/2012Mar04_AR43_24hr_30013.mrc
ycw2012-03-04-20,rawdata/2012Mar04_AR43_24hr_30014.mrc
ycw2012-03-04-23,rawdata/2012Mar04_AR43_24hr_30017.mrc
ycw2012-03-04-25,rawdata/2012Mar04_AR43_24hr_30019.mrc
ycw2012-03-04-26,rawdata/2012Mar04_AR43_24hr_30020.mrc
