run_name,frame_dose_rate
mba2011-08-26-1,4.0
mba2011-08-26-12,4.0
mba2011-08-26-13,4.0
mba2011-08-26-19,4.0
mba2011-08-26-24,4.0
mba2011-08-26-26,4.0
mba2011-08-26-2,2.0
mba2011-08-26-3,2.0
mba2011-08-26-11,2.0
mba2011-08-26-20,2.0
mba2011-08-26-23,2.0
mba2011-08-26-4,0.0
mba2011-08-26-6,0.0
mba2011-08-26-7,0.0
mba2011-08-26-5,3.0
mba2011-08-26-8,3.0
mba2011-08-26-16,3.0
mba2011-08-26-18,3.0
mba2011-08-26-21,3.0
mba2011-08-26-22,3.0
mba2011-08-26-25,3.0
mba2011-08-26-9,1.0
mba2011-08-26-10,1.0
mba2011-08-26-14,1.0
mba2011-08-26-15,1.0
mba2011-08-26-17,1.0
