run_name,tomo-align_softwares,ts-tilt_alignment_software
psa2014-12-21-1,['RAPTOR'],RAPTOR
psa2014-12-21-2,['RAPTOR'],RAPTOR
psa2014-12-21-3,['RAPTOR'],RAPTOR
psa2014-12-21-4,['RAPTOR'],RAPTOR
psa2014-12-21-5,['RAPTOR'],RAPTOR
psa2014-12-21-6,['RAPTOR'],RAPTOR
psa2014-12-21-7,['RAPTOR'],RAPTOR
psa2014-12-21-8,['RAPTOR'],RAPTOR
psa2014-12-21-10,['RAPTOR'],RAPTOR
psa2014-12-21-11,['RAPTOR'],RAPTOR
psa2014-12-21-12,['RAPTOR'],RAPTOR
psa2014-12-21-13,['RAPTOR'],RAPTOR
psa2014-12-21-14,['RAPTOR'],RAPTOR
psa2014-12-21-15,['RAPTOR'],RAPTOR
psa2014-12-21-9,['Batchruntomo'],Batchruntomo
