run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2017-07-06-168,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-169,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-170,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-171,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-172,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-173,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-174,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-175,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-178,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-179,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-181,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-182,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-183,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-184,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-185,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-186,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-187,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-188,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-189,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-193,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-194,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-197,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-198,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-199,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-200,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-201,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-202,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-203,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-205,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-207,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-212,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-214,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-215,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-218,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-219,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-220,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-222,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-223,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-226,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-228,TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D
dga2017-07-06-176,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-177,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-180,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-190,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-191,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-192,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-195,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-196,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-204,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-206,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-208,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-209,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-210,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-211,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-213,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-216,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-217,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-221,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-224,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-225,RAPTOR,,Weighted back projection,IMOD,RAPTOR
dga2017-07-06-227,RAPTOR,,Weighted back projection,IMOD,RAPTOR
