run_name,tomo-reconstruction_method,tomo-voxel_spacing,ts-microscope_optical_setup-phase_plate,ts-tilt_range-max,ts-tilt_series_quality,ts-total_flux
wnj2018-05-16-6,WBP,8.638,volta phase plate,60.0,4,181.0
wnj2018-05-16-7,WBP,8.638,volta phase plate,60.0,4,181.0
wnj2018-05-16-8,WBP,8.638,volta phase plate,60.0,4,181.0
wnj2018-05-16-10,SIRT,17.276,volta phase plate,60.0,4,181.0
wnj2018-05-16-11,WBP,8.638,volta phase plate,60.0,4,181.0
wnj2018-05-17-1,WBP,8.638,volta phase plate,48.0,3,164.0
wnj2018-05-17-2,WBP,8.638,,50.0,3,164.0
wnj2018-05-17-3,WBP,8.638,volta phase plate,52.0,3,181.0
wnj2018-05-17-4,WBP,8.638,volta phase plate,54.0,3,178.0
wnj2018-05-16-12,SIRT,17.276,,56.0,3,166.0
wnj2018-05-16-13,WBP,8.638,,60.0,4,181.0
wnj2018-05-16-14,WBP,8.638,,60.0,4,181.0
