run_name,ts-tilt_series_path
mba2011-08-01-1,rawdata/11aug01b_WT_0008.mrc
mba2011-08-01-2,rawdata/11aug01b_WT_0009.mrc
mba2011-08-01-3,rawdata/11aug01b_WT_0019.mrc
mba2011-08-01-4,rawdata/11aug01b_WT_0020.mrc
mba2011-08-01-5,rawdata/11aug01b_WT_0021.mrc
mba2011-08-01-6,rawdata/11aug01b_WT_0007.mrc
mba2011-08-01-7,rawdata/11aug01b_WT_0013.mrc
mba2011-08-01-8,rawdata/11aug01b_WT_0012.mrc
mba2011-08-01-9,rawdata/11aug01b_WT_0018.mrc
mba2011-08-01-10,rawdata/11aug01b_WT_0010.mrc
mba2011-08-01-11,rawdata/11aug01b_WT_0003.mrc
mba2011-08-01-12,rawdata/11aug01b_WT_0001.mrc
mba2011-08-01-13,rawdata/11aug01b_WT_0005.mrc
mba2011-08-01-14,rawdata/11aug01b_WT_0022.mrc
mba2011-08-01-15,rawdata/11aug01b_WT_0017.mrc
mba2011-08-01-16,rawdata/11aug01b_WT_0014.mrc
mba2011-08-01-17,rawdata/11aug01b_WT_0023.mrc
mba2011-08-01-18,rawdata/11aug01b_WT_0025.mrc
mba2011-08-01-19,rawdata/11aug01b_WT_0026.mrc
mba2011-08-01-20,rawdata/11aug01b_WT_0027.mrc
mba2011-08-01-21,rawdata/11aug01b_WT_0028.mrc
