run_name,frame_dose_rate
aba2015-07-15-1,1.0
aba2015-07-15-4,1.0
aba2015-07-15-6,1.0
aba2015-07-15-13,1.0
aba2015-07-15-17,1.0
aba2015-07-15-19,1.0
aba2015-07-15-24,1.0
aba2015-07-15-3,4.0
aba2015-07-15-10,4.0
aba2015-07-15-16,4.0
aba2015-07-15-18,4.0
aba2015-07-15-20,4.0
aba2015-07-15-25,4.0
aba2015-07-15-26,4.0
aba2015-07-15-27,4.0
aba2015-07-15-30,4.0
aba2015-07-15-33,4.0
aba2015-07-15-5,0.0
aba2015-07-15-8,0.0
aba2015-07-15-22,0.0
aba2015-07-15-23,0.0
aba2015-07-15-32,0.0
aba2015-07-15-35,0.0
aba2015-07-15-7,2.0
aba2015-07-15-14,2.0
aba2015-07-15-15,2.0
aba2015-07-15-31,2.0
aba2015-07-15-34,2.0
aba2015-07-15-9,3.0
aba2015-07-15-29,3.0
