run_name,frame_dose_rate
rra2014-02-04-3,2.0
rra2014-02-04-6,2.0
rra2014-02-04-23,2.0
rra2014-02-04-35,2.0
rra2014-02-04-5,0.0
rra2014-02-04-10,0.0
rra2014-02-04-11,0.0
rra2014-02-04-13,0.0
rra2014-02-04-33,0.0
rra2014-02-04-34,0.0
rra2014-02-04-8,4.0
rra2014-02-04-9,4.0
rra2014-02-04-31,4.0
rra2014-02-04-44,4.0
rra2014-02-04-12,3.0
rra2014-02-04-15,3.0
rra2014-02-04-16,3.0
rra2014-02-04-28,3.0
rra2014-02-04-39,3.0
rra2014-02-04-41,3.0
rra2014-02-04-19,1.0
rra2014-02-04-30,1.0
rra2014-02-04-32,1.0
rra2014-02-04-36,1.0
rra2014-02-04-38,1.0
rra2014-02-04-42,1.0
rra2014-02-04-43,1.0
rra2014-02-04-45,1.0
rra2014-02-04-46,1.0
