run_name,tomo-align_software,tomo-processing_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
scd2018-03-22-1,IMOD,,7.112,1.778,IMOD,-3.0,2
scd2018-03-22-2,IMOD,IMOD,7.112,1.778,IMOD,-6.0,2
scd2018-03-22-3,IMOD,,14.076,3.519,IMOD,53.0,3
scd2018-03-22-4,RAPTOR,,14.076,3.519,RAPTOR,41.0,3
scd2018-03-22-5,IMOD,IMOD,14.076,3.519,IMOD,60.0,4
scd2018-03-22-6,IMOD,IMOD,14.076,3.519,IMOD,60.0,4
scd2018-03-22-7,IMOD,IMOD,14.076,3.519,IMOD,60.0,4
scd2018-03-22-9,IMOD,,14.076,3.519,IMOD,60.0,4
scd2018-03-22-10,IMOD,,14.076,3.519,IMOD,60.0,4
scd2018-03-22-8,RAPTOR,,14.076,3.519,RAPTOR,60.0,4
