run_name,frame_dose_rate
mst2010-12-12-1,3.0
mst2010-12-12-5,3.0
mst2010-12-12-7,3.0
mst2010-12-12-10,3.0
mst2010-12-12-11,3.0
mst2010-12-12-12,3.0
mst2010-12-12-14,3.0
mst2010-12-12-20,3.0
mst2010-12-12-21,3.0
mst2010-12-12-27,3.0
mst2010-12-12-2,1.0
mst2010-12-12-4,1.0
mst2010-12-12-19,1.0
mst2010-12-12-23,1.0
mst2010-12-12-25,1.0
mst2010-12-12-3,2.0
mst2010-12-12-6,2.0
mst2010-12-12-8,2.0
mst2010-12-12-9,2.0
mst2010-12-12-15,2.0
mst2010-12-12-17,2.0
mst2010-12-12-26,2.0
mst2010-12-12-13,0.0
mst2010-12-12-16,0.0
mst2010-12-12-18,0.0
mst2010-12-12-22,0.0
mst2010-12-12-24,0.0
