run_name,frame_dose_rate
dga2016-06-02-1,3.0
dga2016-06-02-2,3.0
dga2016-06-02-5,3.0
dga2016-06-02-7,3.0
dga2016-06-02-11,3.0
dga2016-06-02-26,3.0
dga2016-06-02-28,3.0
dga2016-06-02-31,3.0
dga2016-06-02-33,3.0
dga2016-06-02-34,3.0
dga2016-06-02-38,3.0
dga2016-06-02-40,3.0
dga2016-06-02-41,3.0
dga2016-06-02-44,3.0
dga2016-06-02-49,3.0
dga2016-06-02-55,3.0
dga2016-06-02-59,3.0
dga2016-06-02-3,0.0
dga2016-06-02-4,0.0
dga2016-06-02-8,0.0
dga2016-06-02-9,0.0
dga2016-06-02-13,0.0
dga2016-06-02-22,0.0
dga2016-06-02-30,0.0
dga2016-06-02-32,0.0
dga2016-06-02-39,0.0
dga2016-06-02-48,0.0
dga2016-06-02-51,0.0
dga2016-06-02-58,0.0
dga2016-06-02-6,1.0
dga2016-06-02-14,1.0
dga2016-06-02-21,1.0
dga2016-06-02-36,1.0
dga2016-06-02-37,1.0
dga2016-06-02-42,1.0
dga2016-06-02-57,1.0
dga2016-06-02-10,4.0
dga2016-06-02-12,4.0
dga2016-06-02-15,4.0
dga2016-06-02-16,4.0
dga2016-06-02-29,4.0
dga2016-06-02-35,4.0
dga2016-06-02-43,4.0
dga2016-06-02-45,4.0
dga2016-06-02-47,4.0
dga2016-06-02-52,4.0
dga2016-06-02-53,4.0
dga2016-06-02-56,4.0
dga2016-06-02-17,2.0
dga2016-06-02-19,2.0
dga2016-06-02-20,2.0
dga2016-06-02-23,2.0
dga2016-06-02-24,2.0
dga2016-06-02-25,2.0
dga2016-06-02-27,2.0
dga2016-06-02-46,2.0
dga2016-06-02-50,2.0
dga2016-06-02-54,2.0
