run_name,tomo-align_software,ts-tilt_alignment_software
aba2015-07-29-48,Batchruntomo,Batchruntomo
aba2015-07-29-56,Batchruntomo,Batchruntomo
aba2015-07-29-49,RAPTOR,RAPTOR
aba2015-07-29-50,RAPTOR,RAPTOR
aba2015-07-29-51,RAPTOR,RAPTOR
aba2015-07-29-52,RAPTOR,RAPTOR
aba2015-07-29-53,RAPTOR,RAPTOR
aba2015-07-29-54,RAPTOR,RAPTOR
aba2015-07-29-55,RAPTOR,RAPTOR
aba2015-07-29-57,RAPTOR,RAPTOR
aba2015-07-29-58,RAPTOR,RAPTOR
aba2015-07-29-59,RAPTOR,RAPTOR
aba2015-07-29-60,RAPTOR,RAPTOR
aba2015-07-29-61,RAPTOR,RAPTOR
aba2015-07-29-62,RAPTOR,RAPTOR
aba2015-07-29-63,RAPTOR,RAPTOR
aba2015-07-29-64,RAPTOR,RAPTOR
aba2015-07-29-65,RAPTOR,RAPTOR
aba2015-07-29-66,RAPTOR,RAPTOR
aba2015-07-29-67,RAPTOR,RAPTOR
