run_name,frame_dose_rate
mst2011-07-29-1,3.0
mst2011-07-29-5,3.0
mst2011-07-29-7,3.0
mst2011-07-29-8,3.0
mst2011-07-29-10,3.0
mst2011-07-29-12,3.0
mst2011-07-29-17,3.0
mst2011-07-29-2,2.0
mst2011-07-29-3,2.0
mst2011-07-29-6,2.0
mst2011-07-29-22,2.0
mst2011-07-29-4,1.0
mst2011-07-29-13,1.0
mst2011-07-29-18,1.0
mst2011-07-29-23,1.0
mst2011-07-29-9,0.0
mst2011-07-29-11,0.0
mst2011-07-29-14,0.0
mst2011-07-29-16,0.0
mst2011-07-29-19,0.0
mst2011-07-29-20,0.0
mst2011-07-29-15,4.0
mst2011-07-29-21,4.0
mst2011-07-29-24,4.0
