run_name,ts-tilt_series_path
mba2010-08-27-6,rawdata/10aug27a_WT_Campy_001.st
mba2010-08-27-7,rawdata/10aug27a_WT_Campy_002.st
mba2010-08-27-8,rawdata/10aug27a_WT_Campy_003.st
mba2010-08-27-9,rawdata/10aug27a_WT_Campy_004.st
mba2010-08-27-10,rawdata/10aug27a_WT_Campy_005.st
mba2010-08-27-11,rawdata/10aug27a_WT_Campy_006.st
mba2010-08-27-12,rawdata/10aug27a_WT_Campy_007.st
mba2010-08-27-13,rawdata/10aug27a_WT_Campy_008.st
mba2010-08-27-14,rawdata/10aug27a_WT_Campy_009.st
mba2010-08-27-15,rawdata/10aug27a_WT_Campy_010.st
mba2010-08-27-16,rawdata/10aug27a_WT_Campy_011.st
