run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
dga2016-12-16-2,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-6,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-7,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-8,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-9,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-10,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-11,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-12,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-14,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-15,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-16,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-18,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-19,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-20,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-21,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-22,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-23,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,1.5,140.0
dga2016-12-16-3,,NON_FIDUCIAL,,,,,60.0,1,1.5,140.0
dga2017-05-26-2,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,50.0,3,2.0,110.0
dga2017-05-26-3,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-4,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-5,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-7,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-9,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-11,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-12,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-13,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4,2.0,110.0
dga2017-05-26-6,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,56.0,3,2.0,110.0
dga2017-05-26-8,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,0.0,2,2.0,110.0
dga2017-05-26-10,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,20.0,3,2.0,110.0
dga2017-05-26-14,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,2.0,2,2.0,110.0
dga2017-05-26-15,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,48.0,3,2.0,110.0
dga2017-05-26-16,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,-6.0,2,2.0,110.0
