run_name,tomo-align_softwares,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software,ts-tilt_series_path
dga2017-07-08-1,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0001.mrc
dga2017-07-08-2,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0035.mrc
dga2017-07-08-3,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area1-20170707-JV9114tomo0002.mrc
dga2017-07-08-4,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0036.mrc
dga2017-07-08-5,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0003.mrc
dga2017-07-08-6,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0037.mrc
dga2017-07-08-7,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0004.mrc
dga2017-07-08-8,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0038.mrc
dga2017-07-08-9,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0005.mrc
dga2017-07-08-10,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0039.mrc
dga2017-07-08-11,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0006.mrc
dga2017-07-08-13,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0007.mrc
dga2017-07-08-14,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0046.mrc
dga2017-07-08-15,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0008.mrc
dga2017-07-08-16,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0047.mrc
dga2017-07-08-17,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0009.mrc
dga2017-07-08-18,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0048.mrc
dga2017-07-08-19,['RAPTOR'],,Weighted back projection,IMOD,RAPTOR,rawdata/area1-20170707-JV9114tomo0010.mrc
dga2017-07-08-20,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170708-JV9114tomo0001a0051.mrc
dga2017-07-08-21,['TOMO3D'],tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR,rawdata/area1-20170707-JV9114tomo0011.mrc
dga2017-07-08-22,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0050.mrc
dga2017-07-08-23,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0012.mrc
dga2017-07-08-24,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0052.mrc
dga2017-07-08-25,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170707-JV9114tomo0013.mrc
dga2017-07-08-26,['TOMO3D'],tomo3D,SIRT,TOMO3D,RAPTOR;TOMO3D,rawdata/area1-20170708-JV9114tomo0001a0053.mrc
