run_name,frame_dose_rate
psa2014-06-19-26,4.0
psa2014-06-19-34,4.0
psa2014-06-19-36,4.0
psa2014-06-19-37,4.0
psa2014-06-19-41,4.0
psa2014-06-19-42,4.0
psa2014-06-19-46,4.0
psa2014-06-19-48,4.0
psa2014-06-19-49,4.0
psa2014-06-19-27,0.0
psa2014-06-19-28,0.0
psa2014-06-19-39,0.0
psa2014-06-19-29,1.0
psa2014-06-19-31,1.0
psa2014-06-19-51,1.0
psa2014-06-19-30,2.0
psa2014-06-19-32,2.0
psa2014-06-19-38,2.0
psa2014-06-19-40,2.0
psa2014-06-19-44,2.0
psa2014-06-19-45,2.0
psa2014-06-19-47,2.0
psa2014-06-19-33,3.0
psa2014-06-19-35,3.0
psa2014-06-19-43,3.0
psa2014-06-19-50,3.0
