run_name,frame_dose_rate
ycw2017-07-10-1,4.0
ycw2017-07-10-6,4.0
ycw2017-07-10-8,4.0
ycw2017-07-10-10,4.0
ycw2017-07-10-13,4.0
ycw2017-07-10-17,4.0
ycw2017-07-10-18,4.0
ycw2017-07-10-19,4.0
ycw2017-07-10-23,4.0
ycw2017-07-10-32,4.0
ycw2017-07-10-40,4.0
ycw2017-07-10-48,4.0
ycw2017-07-10-55,4.0
ycw2017-07-10-59,4.0
ycw2017-07-10-2,0.0
ycw2017-07-10-5,0.0
ycw2017-07-10-14,0.0
ycw2017-07-10-15,0.0
ycw2017-07-10-27,0.0
ycw2017-07-10-28,0.0
ycw2017-07-10-29,0.0
ycw2017-07-10-30,0.0
ycw2017-07-10-35,0.0
ycw2017-07-10-42,0.0
ycw2017-07-10-57,0.0
ycw2017-07-10-60,0.0
ycw2017-07-10-3,2.0
ycw2017-07-10-9,2.0
ycw2017-07-10-20,2.0
ycw2017-07-10-21,2.0
ycw2017-07-10-33,2.0
ycw2017-07-10-34,2.0
ycw2017-07-10-36,2.0
ycw2017-07-10-43,2.0
ycw2017-07-10-46,2.0
ycw2017-07-10-54,2.0
ycw2017-07-10-56,2.0
ycw2017-07-10-4,1.0
ycw2017-07-10-11,1.0
ycw2017-07-10-12,1.0
ycw2017-07-10-37,1.0
ycw2017-07-10-45,1.0
ycw2017-07-10-47,1.0
ycw2017-07-10-50,1.0
ycw2017-07-10-51,1.0
ycw2017-07-10-52,1.0
ycw2017-07-10-58,1.0
ycw2017-07-10-7,3.0
ycw2017-07-10-16,3.0
ycw2017-07-10-22,3.0
ycw2017-07-10-24,3.0
ycw2017-07-10-25,3.0
ycw2017-07-10-26,3.0
ycw2017-07-10-31,3.0
ycw2017-07-10-38,3.0
ycw2017-07-10-39,3.0
ycw2017-07-10-41,3.0
ycw2017-07-10-44,3.0
ycw2017-07-10-49,3.0
ycw2017-07-10-53,3.0
ycw2017-07-10-61,3.0
