run_name,tomo-reconstruction_method,ts-microscope-model,ts-spherical_aberration_constant,ts-tilt_range-min,ts-tilt_series_quality,ts-total_flux
wnj2018-04-30-33,WBP,Krios,2.7,-60.0,4,175.0
wnj2018-04-30-46,WBP,Krios,2.7,-60.0,4,175.0
wnj2018-04-30-34,WBP,Krios,2.7,-40.0,3,147.0
wnj2018-04-30-37,WBP,Krios,2.7,-55.0,3,173.0
wnj2018-04-30-38,WBP,Krios,2.7,-50.0,3,162.0
wnj2018-04-30-39,WBP,0,2.2,-56.0,3,180.0
wnj2018-04-30-40,WBP,Krios,2.7,-60.0,4,180.0
wnj2018-04-30-41,WBP,Krios,2.7,-60.0,4,180.0
wnj2018-04-30-42,WBP,Krios,2.7,-60.0,4,180.0
wnj2018-04-30-43,WBP,Krios,2.7,-60.0,4,180.0
wnj2018-04-30-44,WBP,Krios,2.7,-60.0,4,174.0
wnj2018-04-30-49,SIRT,Krios,2.7,-60.0,4,174.0
wnj2018-04-30-50,SIRT,0,2.2,-60.0,4,174.0
