run_name,ts-tilt_series_path
mst2011-11-05-2,rawdata/20111105_ple6_1mM_20002.mrc
mst2011-11-05-3,rawdata/20111105_ple6_1mM_20003.mrc
mst2011-11-05-4,rawdata/20111105_ple6_1mM_20004.mrc
mst2011-11-05-5,rawdata/20111105_ple6_1mM_20005.mrc
mst2011-11-05-6,rawdata/20111105_ple6_1mM_20006.mrc
mst2011-11-05-7,rawdata/20111105_ple6_1mM_20007.mrc
mst2011-11-05-8,rawdata/20111105_ple6_1mM_20008.mrc
mst2011-11-05-9,rawdata/20111105_ple6_1mM_20009.mrc
mst2011-11-05-10,rawdata/20111105_ple6_1mM0001.mrc
mst2011-11-05-11,rawdata/20111105_ple6_1mM0002.mrc
mst2011-11-05-12,rawdata/20111105_ple6_1mM0003.mrc
