run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2016-01-15-1,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-2,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-3,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-4,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-6,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-7,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-8,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-9,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-11,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-12,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-13,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-14,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-15,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-16,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-17,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-18,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-19,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-20,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-21,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-22,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-23,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-24,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-25,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-26,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-27,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-28,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-29,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-30,RAPTOR,,WBP,IMOD,RAPTOR
dga2016-01-15-31,RAPTOR,,WBP,IMOD,RAPTOR
