run_name,frame_dose_rate
mka2019-09-24-33,2.0
mka2019-09-24-51,2.0
mka2019-09-24-55,2.0
mka2019-09-24-58,2.0
mka2019-09-24-61,2.0
mka2019-09-24-68,2.0
mka2019-09-24-72,2.0
mka2019-09-24-74,2.0
mka2019-09-24-75,2.0
mka2019-09-24-77,2.0
mka2019-09-24-78,2.0
mka2019-09-24-82,2.0
mka2019-09-24-84,2.0
mka2019-09-24-48,1.0
mka2019-09-24-52,1.0
mka2019-09-24-53,1.0
mka2019-09-24-57,1.0
mka2019-09-24-59,1.0
mka2019-09-24-64,1.0
mka2019-09-24-69,1.0
mka2019-09-24-71,1.0
mka2019-09-24-81,1.0
mka2019-09-24-83,1.0
mka2019-09-24-87,1.0
mka2019-09-24-88,1.0
mka2019-09-24-91,1.0
mka2019-09-24-93,1.0
mka2019-09-24-49,4.0
mka2019-09-24-50,4.0
mka2019-09-24-54,4.0
mka2019-09-24-63,4.0
mka2019-09-24-67,4.0
mka2019-09-24-70,4.0
mka2019-09-24-76,4.0
mka2019-09-24-89,4.0
mka2019-09-24-90,4.0
mka2019-09-24-92,4.0
mka2019-09-24-56,3.0
mka2019-09-24-60,3.0
mka2019-09-24-62,3.0
mka2019-09-24-65,3.0
mka2019-09-24-66,3.0
mka2019-09-24-79,3.0
mka2019-09-24-85,3.0
mka2019-09-24-86,3.0
mka2019-09-24-73,0.0
mka2019-09-24-80,0.0
