run_name,tomo-align_software,ts-tilt_alignment_software
aba2015-01-16-1,RAPTOR,RAPTOR
aba2015-01-16-2,RAPTOR,RAPTOR
aba2015-01-16-3,RAPTOR,RAPTOR
aba2015-01-16-5,RAPTOR,RAPTOR
aba2015-01-16-6,RAPTOR,RAPTOR
aba2015-01-16-7,RAPTOR,RAPTOR
aba2015-01-16-8,RAPTOR,RAPTOR
aba2015-01-16-9,RAPTOR,RAPTOR
aba2015-01-16-10,RAPTOR,RAPTOR
aba2015-01-16-11,RAPTOR,RAPTOR
aba2015-01-16-12,RAPTOR,RAPTOR
aba2015-01-16-13,RAPTOR,RAPTOR
aba2015-01-16-14,RAPTOR,RAPTOR
aba2015-01-16-15,RAPTOR,RAPTOR
aba2015-01-16-16,RAPTOR,RAPTOR
aba2015-01-16-17,RAPTOR,RAPTOR
aba2015-01-16-18,RAPTOR,RAPTOR
aba2015-01-16-19,RAPTOR,RAPTOR
aba2015-01-16-4,Batchruntomo,Batchruntomo
