run_name,tomo-align_software,ts-tilt_alignment_software
aba2015-02-23-1,RAPTOR,RAPTOR
aba2015-02-23-3,RAPTOR,RAPTOR
aba2015-02-23-4,RAPTOR,RAPTOR
aba2015-02-23-5,RAPTOR,RAPTOR
aba2015-02-23-6,RAPTOR,RAPTOR
aba2015-02-23-7,RAPTOR,RAPTOR
aba2015-02-23-8,RAPTOR,RAPTOR
aba2015-02-23-9,RAPTOR,RAPTOR
aba2015-02-23-10,RAPTOR,RAPTOR
aba2015-02-23-11,RAPTOR,RAPTOR
aba2015-02-23-12,RAPTOR,RAPTOR
aba2015-02-23-13,RAPTOR,RAPTOR
aba2015-02-23-14,RAPTOR,RAPTOR
aba2015-02-23-15,RAPTOR,RAPTOR
aba2015-02-23-16,RAPTOR,RAPTOR
aba2015-02-23-18,RAPTOR,RAPTOR
aba2015-02-23-19,RAPTOR,RAPTOR
aba2015-02-23-20,RAPTOR,RAPTOR
aba2015-02-23-22,RAPTOR,RAPTOR
aba2015-02-23-23,RAPTOR,RAPTOR
aba2015-02-23-24,RAPTOR,RAPTOR
aba2015-02-23-25,RAPTOR,RAPTOR
aba2015-02-23-26,RAPTOR,RAPTOR
aba2015-02-23-28,RAPTOR,RAPTOR
aba2015-02-23-29,RAPTOR,RAPTOR
aba2015-02-23-30,RAPTOR,RAPTOR
aba2015-02-23-31,RAPTOR,RAPTOR
aba2015-02-23-32,RAPTOR,RAPTOR
aba2015-02-23-33,RAPTOR,RAPTOR
aba2015-02-23-34,RAPTOR,RAPTOR
aba2015-02-23-35,RAPTOR,RAPTOR
aba2015-02-23-36,RAPTOR,RAPTOR
aba2015-02-23-2,Batchruntomo,Batchruntomo
aba2015-02-23-21,Batchruntomo,Batchruntomo
aba2015-02-23-27,Batchruntomo,Batchruntomo
