run_name,ts-pixel_spacing
mba2012-03-20-1,20.136
mba2012-03-20-2,20.136
mba2012-03-20-3,20.136
mba2012-03-20-4,20.136
mba2012-03-20-5,20.136
mba2012-03-20-6,20.136
mba2012-03-20-7,20.136
mba2012-03-20-8,20.136
mba2012-03-20-9,20.136
mba2012-03-20-10,20.136
mba2012-03-09-10,0.512
mba2012-03-09-11,0.512
mba2012-03-09-12,0.512
mba2012-03-09-13,0.512
mba2012-03-09-14,0.512
mba2012-03-09-15,0.512
mba2012-03-09-16,0.512
mba2012-03-09-17,0.512
mba2012-03-09-18,0.512
mba2012-03-09-19,0.512
mba2012-03-09-20,0.512
mba2012-03-09-21,0.512
mba2012-03-09-22,0.512
mba2012-03-09-23,0.512
mba2012-03-09-24,0.512
mba2012-03-09-25,0.512
mba2012-03-09-26,0.512
mba2012-03-09-27,0.512
mba2012-03-09-28,0.512
mba2012-03-09-29,0.512
mba2012-03-09-30,0.512
mba2012-03-09-31,0.512
mba2012-03-09-32,0.512
mba2012-03-09-33,0.512
mba2012-03-09-34,0.512
mba2012-03-09-35,0.512
mba2012-03-09-36,0.512
mba2012-03-09-37,0.512
mba2012-03-09-38,0.512
mba2012-03-09-39,0.512
mba2012-03-09-40,0.512
mba2012-03-09-41,0.512
mba2012-03-09-42,0.512
mba2012-03-09-43,0.512
mba2012-03-09-44,0.512
mba2012-03-09-45,0.512
mba2012-03-09-46,0.512
mba2012-03-09-47,0.512
mba2012-03-09-48,0.512
mba2012-03-09-49,0.512
mba2012-03-09-50,0.512
mba2012-03-09-51,0.512
mba2012-03-09-52,0.512
mba2012-03-09-53,0.512
mba2012-03-09-54,0.512
mba2012-03-09-55,0.512
mba2012-03-09-56,0.512
mba2012-03-09-57,0.512
mba2012-03-09-58,0.512
mba2012-03-09-59,0.512
mba2012-03-09-60,0.512
mba2012-03-09-61,0.512
mba2012-03-09-62,0.512
